sentence1,sentence2,label
"Энэ Нууц товчоо гэдэг зохиол бол тэр цагийн Монголын сайн саармаг хоёр талыг хэтэрхий сайшаан магтахгүй, хэтэрхий далдлан нуухгүй чухам үнэнээр нь уран сайхан хэлээр бичсэн эрхэм өв зохиол юм.","Нууц товчоо зохиол нь Монголын сайн ба муу талыг үнэн зөв, уран сайхан хэлээр бичсэн эрхэм өв юм.","1"
"Шинэ Монголын хувьсгалт соёлыг байгуулахад монгол ардын хэдэн зуун жилд туурвисан өв соёлыг эзэмшихгүй бол бүтэхгүй.","Монголын хувьсгалт соёлыг байгуулахад ардын өв соёлыг ашиглах нь чухал гэжээ.","1"
"Ардын өв соёлын боломжтой талыг ашиглан авч хэрэглэх нь одоогийн бидний чухал үүргийн нэг мөн.","Одоогийн бидний чухал үүрэг нь ардын өв соёлыг ашиглах явдал юм.","1"
"Одоо монгол ард олны урьдын бүтээсэн, байгуулсан гавьяа зүтгэлийг бүрэн шинжлэн үзэж, монгол ардын утга зохиолыг хөгжүүлэхийн тул шилдэг зохиолыг ашиглан хэрэглэх зорилгыг тавих үүнд, юуны өмнө Монгол ардын түүх зохиолын дурсгалт бичиг Нууц товчоог анхааран үзнэ.","Монгол ардын түүх зохиолын дурсгалт бичиг Нууц товчоог анхааран үзэж, утга зохиолыг хөгжүүлэх зорилго тавих нь чухал гэжээ.","1"
"Энэ зохиолын хуучин монгол үсгээр бичигдсэн эх одоо хүртэл олдоогүй.","Нууц товчооны хуучин монгол үсгээр бичигдсэн эхийг одоог хүртэл олоогүй байна.","1"
"Гагцхүү хятад үсгээр монгол хэл дээр бичигдсэн эх, хятад газраас олджээ.","Нууц товчооны хятад үсгээр бичигдсэн эх хятад газраас олдсон.","1"
"Анх хятад үсгээр бичигдсэн буюу уйгур монгол үсгээр бичигдсэн алин болох нь тодорхойгүй.","Нууц товчоог хятад үсгээр эсвэл уйгур монгол үсгээр бичсэн нь тодорхойгүй байна.","1"
"HIII зууны үед монголчууд хятад үсгийг хэрэглэж байсан мэдээ байх тул энэ зохиолыг шууд хятад үсгээр монгол хэл дээр зохиосон байж болох ба эсвэл анх уйгур монгол үсгээр бичигдээд хожим хятад үсгээр сийрүүлж бичсэн нь олдсон ба харин монгол үсгээр зохиогдсон анхны эх нь алдагдсан байж болно.","XIII зууны үед монголчууд хятад үсгийг хэрэглэж байсан тул Нууц товчоог хятад үсгээр бичсэн байж болзошгүй юм.","1"
"Юу ч болтугай уул монгол эх мөн гэж лав баримталмаар бичиг байхгүй тул хятад үсгийн эхийг гол болговол зохино.","Нууц товчооны хятад үсэгтэй эхийг гол болгох нь зүйтэй гэжээ.","1"
"Нууц товчоотой холбогдол бүхий хоёр ном монгол хэл дээр урьд хэвлэгджээ. Нэг нь Чингисийн Цэдэг гэдэг ном, нөгөө нь Алтан товч гэдэг ном юм.","Нууц товчоотой холбоотой хоёр ном монгол хэлээр хэвлэгдсэн: Чингисийн Цэдэг ба Алтан товч.","1"
"Чингисийн Цэдэгийг тус Хүрээлэнгээс сүйтгэлийг гаргаж Бээжингийн монгол хэвлэлээр 1925 онд хэвлүүлсэн ба нөгөө Алтан товчийг 1937 онд Улаанбаатар хотноо хоёр дэвтэр болгон хэвлэжээ.","Чингисийн Цэдэгийг 1925 онд Бээжингийн монгол хэвлэлээр, Алтан товчийг 1937 онд Улаанбаатар хотод хэвлэсэн.","1"
"Чингисийн Цэдэгт Нууц товчооноос авсан бага сага зүйлүүд бий ба нөгөө Алтан товч нь бараг Нууц товчооны хуулбар билээ.","Чингисийн Цэдэгт Нууц товчооны бага сага зүйлүүд, Алтан товч нь Нууц товчооны хуулбар байна.","1"
"Дунд ба эцсээс баахан орхигдуулжээ. Энэ Алтан товчийг урьд Судар бичгийн хүрээлэнгийн дарга байсан Жамьян гуай, хуучин Сан бэйсийн хошууны юншиебү овгийн нэг тайжаас олж иржээ.","Алтан товчид дунд болон эцсийн хэсгүүдэд орхигдсон зүйлс бий. Жамьян гуай Судар бичгийн хүрээлэнгээс олж иржээ.","1"
"Нууц товчоо 282 зүйл болохоос энэ Алтан товчид 233 зүйл нь байна.","Нууц товчооны 282 зүйлээс Алтан товчид 233 зүйл нь байгаа.","1"
"Гагцхүү энэ хэвлэгдсэн Алтан товчид үг үсгийг буруугаар ойлгож өөрчилсөн ба хуулахад ташаарсан зүйл нэлээд байна.","Алтан товчид үг үсгийг буруугаар ойлгож, ташаарсан зүйлүүд байдаг.","1"
"Бас Шар тууж, Алтан товч, Эрдэнийн эрих зэргийн нэртэй монгол түүхүүдэд Нууц товчооноос авсан бололтой хэсэг хэсэг зүйлүүд байх боловч тэр бүрийг энд тоочихгүй.","Шар тууж, Алтан товч, Эрдэнийн эрих зэрэг монгол түүхүүдэд Нууц товчооны хэсэг зүйлүүд байж болзошгүй.","1"
"Гагцхүү үүнийг баримт болгож хянавал, Монголын хуучин түүхч, зохиолч нарын гарт Нууц товчооны уйгур монгол үсгээр бичсэн эх байсан бололтой гэж хэлж болно.","Нууц товчооны уйгур монгол үсгээр бичигдсэн эх нь Монголын хуучин түүхчид, зохиолчдын гарт байсан гэж үзэж болно.","1"
"Нууц товчооны хятад үсгээр бичигдсэн эх нь хамгийн эртний анхны эх биш гэж үзэж болно.","Нууц товчооны хятад үсгээр бичигдсэн эх нь анхны эх гэж тооцогдохгүй.","0"
"Нууц товчооны хуучин монгол үсгээр бичигдсэн эхийг хайх шаардлагагүй гэж үзэж болно.","Нууц товчооны хуучин монгол үсгээр бичигдсэн эхийг олоход шаардлагагүй гэж үзэж болно.","0"
"«Их Юань улсын Чингис тайзу хааны улс аймгийг авсан цэргийн товчооны он жил, сар өдрийн бидүүн хураангуйн ойлбор тэмдэглэлийн дэвтэр» гэдэг нэртэй ном 1945 онд Өвөр Монголоос олдов.","«Их Юань улсын Чингис тайзу хааны улс аймгийг авсан цэргийн товчооны он жил, сар өдрийн тэмдэглэлийн дэвтэр» нэртэй ном 1945 онд Өвөр Монголоос олдсон.","1"
"Түүний дотор Монголын түүхийн арван гурван тулгар бичгийг тэмдэглэсэн нь:","Монголын түүхийн арван гурван тулгар бичгийн жагсаалтыг дурдсан нь:","1"
"1. Төвөдөөс орчуулж авсан Чадагчийн эрхт цадиг. 2. Чадагчийн цадиг 3. Залуусын хурим 4. Хөх судар 5. Чингисийн шастир 6. Юанийн төв их судар 7. Язгуурын түүх 8. Алтан үрстний товч 9. Да Юанийн Чин Си бичиг 10. Саган сэцний сэтгэлийн цэнгэл 11. Алтан урагтны дөт түүх 12. Богд Чингисийн сул тууж 13. Ган му судар энэ 13 болно","1. Төвөдөөс орчуулсан Чадагчийн эрхт цадиг 2. Чадагчийн цадиг 3. Залуусын хурим 4. Хөх судар 5. Чингисийн шастир 6. Юанийн төв их судар 7. Язгуурын түүх 8. Алтан үрстний товч 9. Да Юанийн Чин Си бичиг 10. Саган сэцний сэтгэлийн цэнгэл 11. Алтан урагтны дөт түүх 12. Богд Чингисийн сул тууж 13. Ган му судар","1"
"Үүний дотор дурдсан Хөх судар, Чингисийн шастир, Язгуурын түүх, Алтан үрстний товч, Алтан урагтны дөт түүх, Богд Чингисийн сул тууж зэрэг ном Нууц товчоотой холбогдолтой байж мэднэ.","Хөх судар, Чингисийн шастир, Язгуурын түүх, Алтан үрстний товч, Алтан урагтны дөт түүх, Богд Чингисийн сул тууж номууд Нууц товчоотой холбогдолтой байж болно.","1"
"Нууц товчооны хятад үсгийн эх Европт мэдэгдсээр нэг зуу шахам жил болов.","Нууц товчооны хятад үсгийн эх Европт нэг зуу шахам жил мэдэгдсэн байна.","1"
"Оросын эрдэмтэн Кафаров, Бээжинд суух цагт хятад хэл бичигт сайтар суралцаж, хятад олон судраас чухлыг нь сонирхон үзэж судалсаар, Монголын нууц түүх гэдгийг Манжийн Богд хааны номын сангаас нэг танил эрдэмтнээр сэмхэн авхуулан, зөвхөн хятад орчуулгаас орос хэлэн дээр дам орчуулаад 1866 онд нийтэлснээс хойш олон газрын эрдэмтний үзэх судлах замыг нээсэн ба дараа нь монгол үгийг орос үсгээр сийрүүлэн бичиж монгол үг тус бүрийн дор орос орчуулгыг хятадаас авч хадаад шинжилгээний хамт нийтлэхээр завдан байтал далайн аянд үхсэн билээ.","Кафаров хятад хэл бичигт сайн суралцаж, Монголын нууц түүхийг хятад орчуулгаас орос хэл дээр дам орчуулаад 1866 онд нийтэлсэн. Түүний судалгаа олон эрдэмтний судлах замыг нээсэн бөгөөд монгол үгийг орос үсгээр бичиж орос орчуулгыг хятадаас авч шинжилгээ хийж нийтлэхээр завдсан боловч далайн аянд үхсэн.","1"
