sentence1,sentence2,label
"Эубактерийн цитоплазмын мембранд стерол агуулагддаг тул арчебактерийн ЦМ-аас ялгаатай.","Эубактерийн цитоплазмын мембард стерол агуулагддаг бөгөөд энэ нь арчебактерийн ЦМ-аас ялгаатай байдаг.",1
"Фосфолипидийн хоёр давхарга нь тосны хүчил, глицерол, фосфатас тогтдог.","Фосфолипидийн хоёр давхарга нь тосны хүчил, глицерол, болон фосфатуудаас бүрддэг.",1
"Тосны хүчлээс тогтсон гидрофоб хэсэг нь цитоплазмын мембраны дотор давхаргыг бүрдүүлдэг.","Тосны хүчил агуулсан гидрофоб хэсэг нь цитоплазмын мембраны дотор давхаргыг бүрдүүлдэг.",1
"Цитоплазм руу болон эсийг хүрээлж буй орчин луу хандсан тал нь глицеролоос бүрдсэн, гидрофиль шинжтэй.","Цитоплазм болон эсийг хүрээлж буй орчин руу чиглэсэн тал нь глицеролоос бүрдэж, гидрофиль шинжтэй байдаг.",1
"Бактер гадаад орчноосоо энерги, эсийн бүрдэл хэсгүүдийн эх үүсвэр нэгдлүүдийг авдаг.","Бактер нь гадаад орчноос энерги болон эсийн бүрдэл хэсгүүдийн эх үүсвэрийг авдаг.",1
"Эдгээр макро нэгдлүүд молекул жингийнхээ улмаас эсийн хана, цитоплазмын мембранаар дамжин нэвтрэх чаддаггүй.","Эдгээр макро нэгдлүүд молекул жингийн улмаас эсийн хана болон цитоплазмын мембранаар дамжин нэвтрэх боломжгүй.",1
"Эдгээр нэгдлийг эсийн дотогш нэвтрүүлэхийн тулд цитоплазмын мембраны холбоот энзимээр мономер болж задладаг.","Эдгээр нэгдлийг эсийн дотор нэвтрүүлэхийн тулд цитоплазмын мембраны холбоот энзимүүд мономер болгон задлах шаардлагатай.",1
"Цитоплазмын мембраны шинж нь хагас нэвчимхий, сонгон нэвтрүүлэх чадвартай.","Цитоплазмын мембраны шинж нь хагас нэвчимхий бөгөөд сонгон нэвтрүүлэх чадвартай байдаг.",1
"Бактер бодисын солилцооны эх үүсвэр нэгдлүүдийг авахын зэрэгцээ, эсийн дотоод орчноос эцсийн бүтээгдэхүүн нэгдлүүдийг гадагшлуулдаг.","Бактер нь бодисын солилцооны эх үүсвэр нэгдлүүдийг авахын зэрэгцээ эсийн дотоод орчноос эцсийн бүтээгдэхүүнүүдийг гадагшлуулдаг.",1
"Бодис тээвэрлэгдэх явц үндсэн хоёр хэлбэртэй: идэвхгүй, идэвхтэй.","Бодисын тээвэрлэлт нь үндсэн хоёр хэлбэртэй: идэвхгүй болон идэвхтэй.",1
"Идэвхгүй хэлбэрийн тээвэрлэлтийн явцад энерги зарцуулдаггүй, түвшрүүлэг, концентрацийн зөрүү, градиентийн дагуу бодис шилждэг.","Идэвхгүй тээвэрлэлтийн үед энерги зарцуулдаггүй бөгөөд бодис нь түвшрүүлэг, концентрацийн зөрүү, градиентийн дагуу шилждэг.",1
"Идэвхгүй хэлбэрт идэвхгүй диффуз, осмос, хөнгөвчилсөн диффуз орно.","Идэвхгүй тээвэрлэлт нь идэвхгүй диффуз, осмос, болон хөнгөвчилсөн диффуз байдлаар хийгддэг.",1
"Цитоплазмын мембранаар тусгаарлагдсан эсийн гадна ба дотоод орчны хооронд бодис их концентрацитай талаасаа бага концентрацитай тал руу шилжинэ.","Цитоплазмын мембранаар тусгаарлагдсан эсийн гадна ба дотоод орчны хооронд бодис их концентрацитай талаасаа бага концентрацитай тал руу шилждэг.",1
"Бактерийн цитоплазмын мембранаар зарим сахар (глюкоз), амин хүчил (трифтофан) энэ хэлбэрээр эсийн дотогш нэвтэрдэг.","Бактерийн цитоплазмын мембранаар зарим сахар (жишээ нь, глюкоз) болон амин хүчил (жишээ нь, трефтофан) энэ хэлбэрээр эсийн дотор нэвтэрдэг.",1
"Гэвч энэ явц маш удаан.","Гэвч энэ процесс нь маш удаан явагддаг.",1
"Усанд ууссан нэгдлийн концентрацийн зөрүүгээс хамааран цитоплазмын мембранаар ус шилждэг.","Цитоплазмын мембранаар ус шилжих нь усанд ууссан нэгдлийн концентрацийн зөрүүгээс хамаардаг.",1
"Усанд ууссан эдгээр нэгдлүүд цитоплазмын мембраныг давж чадахгүй нэгдэл байдгаас ус бодис их концентрацитай байгаа тал руу нэвтэрдэг.","Усанд ууссан эдгээр нэгдлүүд нь цитоплазмын мембраныг давж чадахгүй тул ус их концентрацитай тал руу шилжинэ.",1
"Бодис хөнгөвчилсөн диффузээр тээвэрлэгдэх явц эукариот эсэд түгээмэл.","Хөнгөвчилсөн диффузээр бодисын тээвэрлэлт эукариот эсүүдэд нийтлэг байдаг.",1
"Зарим бактерт глицерол энэ хэлбэрээр зөөгддөг.","Зарим бактерийн хувьд глицерол хөнгөвчилсөн диффуз хэлбэрээр тээвэрлэгддэг.",1
"Бодис их концентрацитай байгаа орчноос бага концентрацитай байгаа орчин руу шилжихэд хөнгөвлөгч уураг, facilitator protein оролцоно.","Бодис их концентрацитай орчноос бага концентрацитай орчин руу шилжихэд хөнгөвлөгч уураг буюу facilitator protein оролцдог.",1
"Бодис идэвхтэй хэлбэрээр тээвэрлэгдэх явц концентрацийн градиентийн эсрэг энерги зарцуулан явагддаг.","Идэвхтэй тээвэрлэлт нь концентрацийн градиентийн эсрэг энерги зарцуулан явагддаг.",1
"Идэвхтэй зөөвөрлөлт, групп транслокаци, холбогч уургаар тээвэрлэгдэх, цитоз гэсэн хэлбэрүүдтэй.","Идэвхтэй тээвэрлэлт нь идэвхтэй зөөвөрлөлт, групп транслокаци, холбогч уургаар тээвэрлэгдэх, болон цитоз зэрэг хэлбэрүүдтэй байдаг.",1
"Бодис их концентрацитай байгаа орчин луу энерги зарцуулан, холбогч уургийн тусламжтай зөөгдөнө.","Бодис их концентрацитай орчин руу энерги зарцуулж, холбогч уургийн тусламжтайгаар зөөгддөг.",1
"Энэ явцын їед зарцуулагдах энерги АТФ-ын гидролиз, протон хөдөлгөгч хүч, protonmotive force - ээс үүсдэг.","Энэ явцад зарцуулагдах энерги нь АТФ-ын гидролиз болон протон хөдөлгөгч хүч (proton motive force) - ээс үүсдэг.",1
"Бактер протон хөдөлгөгч хүчийг бодис идэвхтэй хэлбэрээр тээвэрлэхдээ ашигладаг.","Бактер бодис идэвхтэй хэлбэрээр тээвэрлэхдээ протон хөдөлгөгч хүчийг ашигладаг.",1
"Эсийн гадаад орчинд протон буюу устөрөгчийн ион хуримтлагдсанаас үүсч байгаа энергийг протон хөдөлгөгч хүч гэдэг.","Эсийн гадаад орчинд протон буюу устөрөгчийн ион хуримтлагдсанаас үүссэн энергийг протон хөдөлгөгч хүч гэж нэрлэдэг.",1
"Эсийн гадаад орчинд устөрөгчийн болоод бусад нэмэх цэнэгтэй ион хуримтлагдах нь эсийн дотоод орчин луу нэмэх цэнэгтэй ионууд шилжихийг дэмжих нөхцөл болохын хамт хасах цэнэгтэй фосфат, сульфат ионууд протоныг холбосон пермеазад нэгдэн зэрэг symport зөөгддөг.","Эсийн гадаад орчинд устөрөгчийн болон бусад нэмэх цэнэгтэй ион хуримтлагдах нь дотоод орчин руу нэмэх цэнэгтэй ионууд шилжихийг дэмжих нөхцөл болдог. Хасах цэнэгтэй фосфат, сульфат ионууд протоныг холбосон пермеазаар нэгдэн symport хэлбэрээр зөөгддөг.",1
"Холбогч уураг буюу пермеаза нь зөвхөн нэг төрлийн бодисыг тээвэрлэдэг бол uniporter, нэг бус төрлийн бодисыг холбон зөөж байвал хамсруулан зөөгч, co-transporter гэдэг.","Холбогч уураг буюу пермеаза нь зөвхөн нэг төрлийн бодисыг тээвэрлэдэг бол uniporter, олон төрлийн бодисыг холбон зөөж байвал хамсруулан зөөгч буюу co-transporter гэж нэрлэдэг.",1
"Тvvнчлэн хоёр бодис нэг чиглэлд зэрэг зөөгдөж байвал symport: Н+, лактозтай зэрэг эсийн гадаад орчноос дотогш тээвэрлэгддэг.","Хоёр бодис нэг чиглэлд зэрэг зөөгдөж байвал symport гэж нэрлэдэг. Жишээ нь, Н+ болон лактоз зэрэг эсийн гадаад орчноос дотогш тээвэрлэгддэг.",1
"Нэг цаг хугацаанд эсрэг чиглэлд хоёр бодис шилжихийг antiport гэж нэрлэдэг.","Нэг цаг хугацаанд эсрэг чиглэлд хоёр бодис шилжихийг antiport гэж нэрлэдэг.",1
"Жишээлбэл Na+ эсийн гадаад орчин луу шилжихэд H+ дотоод орчин луу зөрөн зөөгддөг.","Жишээлбэл, Na+ эсийн гадаад орчин руу шилжихэд H+ дотоод орчин руу эсрэг чиглэлд зөөгддөг.",1
"Phosphoenolpyruvate : Phosphotransferase System, буюу PEP:PTS-ийн тусламжтай бодис мембранаар дамжих явцад зөөгдөж буй бодист фосфат нэмэгдэн, химийн хувиралд орж шилжихийг групп транслокаци гэдэг.","Phosphoenolpyruvate : Phosphotransferase System буюу PEP:PTS системийн тусламжтай бодис мембранаар дамжих явцад зөөгдөж буй бодист фосфат нэмэгдэн химийн хувиралд орж шилжихийг групп транслокаци гэж нэрлэдэг.",1
"Прокариот эсэд бодис групп транслокацаар тээвэрлэгдэх түгээмэл.","Прокариот эсэд бодис групп транслокацаар тээвэрлэгдэх нь түгээмэл байдаг.",1
"Тухайлбал карбогидрат, тосны хүчил, нуклейн хүчлийн нийлэгжилд оролцдог зарим нэгдлүүд фосфоенолпируват:фосфотрансфераза системээр зөөгддөг.","Жишээлбэл, карбогидрат, тосны хүчил, нуклейн хүчлийн нийлэгжилд оролцдог зарим нэгдлүүд фосфоенолпируват:фосфотрансфераза системээр зөөгддөг.",1
"E.coli-д гадаад орчноос глюкоз PEP : PTS -ээр зөөгдөхдөө эсийн дотоод орчинд глюкоз-6 фосфат болон хувирч ордог.","E.coli-д гадаад орчноос глюкоз PEP:PTS системээр зөөгдөхдөө эсийн дотоод орчинд глюкоз-6 фосфат болгон хувирдаг.",1
"Агааргүйтэн бактерт карбогидрат мембранаар фосфоржин зөөгдөхийн хамт энерги үүсгэх солилцооны эхлэлийн шат болдог тул энерги хэмнэдэг.","Агааргүйтэн бактерт карбогидрат мембранаар фосфоржин зөөгдөх нь энерги үүсгэх солилцооны эхлэлийн шат болдог тул энерги хэмнэдэг.",1
"Харин агаартан бактерийн мембранаар бодис идэвхтэй тээвэрлэлтээр дамждаг.","Агаартан бактерийн мембранаар бодис идэвхтэй тээвэрлэлтээр дамждаг.",1
"PEP:PTS систем хэд хэдэн энзимтэй, олон шатаас бїрддэг.","PEP:PTS систем нь хэд хэдэн энзимтэй, олон шаттай байдаг.",1
"Фосфоенолпируват, PEP-аас фосфатын групп бага молекул жинтэй, гистидин агуулсан уураг, HPr-т шилждэг.","Фосфоенолпируват (PEP) -аас фосфатын групп бага молекул жинтэй, гистидин агуулсан уураг HPr-т шилждэг.",1
"Энэ явцад энзим I катализатор, хурдасгуур болдог.","Энзим I нь энэ явцад катализатор, хурдасгуур болдог.",1
"Фосфоржсон HPr- аас фосфатын групп нь энзим III-д шилжиж, цааш энзим III нь фосфатын группыг мембрантай холбоот пермеаза буюу энзим II-д зөөнө.","Фосфоржсон HPr-аас фосфатын групп нь энзим III-д шилжиж, энзим III нь фосфатын группыг мембрантай холбоот пермеаза буюу энзим II-д зөөнө.",1
"Групп транслокацийн эцсийн шатанд энзим II-ийн фосфатын групп бодист нэгдэхийн зэрэгцээ мембраныг дамжин нэвтлэнэ.","Групп транслокацийн эцсийн шатанд энзим II-ийн фосфатын групп бодист нэгдэхийн зэрэгцээ мембраныг дамжин нэвтэрдэг.",1
"Глюкозтай адил моносахарууд жишээ нь фруктоз PEP:PTS-ээр зөөгддөг.","Глюкозтой адил моносахарууд, жишээлбэл, фруктоз PEP:PTS системээр зөөгддөг.",1
"Бусад нэгдэл жишээлбэл маннитол групп транслокацаар тээгдэхэд энзим II-ыг HPr шууд фосфоржуулдаг.","Бусад нэгдлүүд, жишээлбэл, маннитол групп транслокацаар тээгдэхдээ энзим II-ыг HPr шууд фосфоржуулдаг.",1
"PEP:PTS-ийн зарим бүрдэл тодорхой нэгдлийн тээвэрлэлтэнд оролцдог өвөрмөц шинжтэй байх.","PEP:PTS системийн зарим бүрдэл тодорхой нэгдлийн тээвэрлэлтэнд оролцдог өвөрмөц шинжтэй байдаг.",1
"Энзим I, HPr өвөрмөц бус шинжтэй.","Энзим I, HPr нь өвөрмөц бус шинжтэй байдаг.",1
"E.coli-ийн энзим I, HPr-ийн генийн мутацийн улмаас групп транслокацаар зөөгддөг нэгдлүүдийн тээвэрлэлт саатдаг бол глюкоз, глюкозамин, 2-деоксиглюкозын тээвэрлэлтэнд үүрэгтэй энзим II-ын генд мутаци болоход зөвхөн эдгээр нэгдлийн мембранаар зөөгдөх явц алдагдана.","E.coli-ийн энзим I, HPr-ийн генийн мутацийн улмаас групп транслокацаар зөөгддөг нэгдлүүдийн тээвэрлэлт саатдаг бол, глюкоз, глюкозамин, 2-деоксиглюкозын тээвэрлэлтэнд үүрэгтэй энзим II-ын генд мутаци гарахад зөвхөн эдгээр нэгдлийн мембранаар зөөгдөх явц алдагдана.",1
"Холбогч уургаар бодис тээвэрлэгдэх нь зөвхөн грам сөрөг нянд тохиолддог.","Холбогч уургаар бодис тээвэрлэлт нь зөвхөн грам сөрөг нянд тохиолддог.",1
"Грам сөрөг нянгийн гадар мембран дах порин уургууд гадар мембранаар бодис нэвтрэх нөхцлийг бvрдvvлнэ.","Грам сөрөг нянгийн гадар мембраны порин уургууд гадар мембранаар бодис нэвтрэх нөхцлийг бүрдүүлдэг.",1
"Гадар болоод цитоплазмын мембран хоорондын зайг периплазмын завсар гэдэг.","Гадар болон цитоплазмын мембран хоорондын зайг периплазмын завсар гэж нэрлэдэг.",1
"E.coli-ийн гадар мембраны LamB уураг мальтоз эсийн гадаад орчноос периплазмын завсарт шилжихэд оролцоно.","E.coli-ийн гадар мембраны LamB уураг нь мальтозыг эсийн гадаад орчноос периплазмын завсарт шилжүүлэхэд оролцдог.",1
"Периплазмын завсарт мальтозыг холбогч уургаар зөөнө.","Периплазмын завсарт мальтозыг холбогч уургаар зөөвөрлөдөг.",1
"Холбогч уурагтай нэгдэн, цааш цитоплазмын мембраныг нэвтлэхэд пермеазагийн үүрэгтэй MalF, MalG, АТФ-аас энерги чөлөөлдөг MalK уургууд оролцоно.","Холбогч уурагтай нэгдэж, цааш цитоплазмын мембраныг нэвтлэхэд MalF, MalG, MalK уургууд үүрэг гүйцэтгэдэг, тэдгээрийн MalK уураг АТФ-аас энерги чөлөөлдөг.",1
"Харьцангуй том хэмжээтэй нэгдэл эукариот эсийн дотогш эсвэл гадаад орчин луу цитоплазмын мембраны тусламжтайгаар шилждэг.","Харьцангуй том хэмжээтэй нэгдэл эукариот эсийн дотоод эсвэл гадаад орчин руу цитоплазмын мембраны тусламжтайгаар шилждэг.",1
"Эсээс бодис гадагш шилжихийг экзоцитоз гэж нэрлэдэг.","Эсээс бодис гадагш шилжих үйл явцыг экзоцитоз гэж нэрлэдэг.",1
"Эсийн дотоод орчинд мембраны гаралтай хvvдий, vesicle vvсгэн орж байгааг эндоцитоз гэх бөгөөд өвөрмөц жишээ нь фагоцитоз юм.","Эсийн дотоод орчинд мембраны гаралтай хvvдий буюу vesicle үүсгэн орж байгааг эндоцитоз гэж нэрлэдэг, үүнээс өвөрмөц жишээ нь фагоцитоз юм.",1
"Зарим нэгдэл (вирус) эсийн гадар дах рецепторт нэгдэн эндоцитоз явагддаг.","Зарим нэгдэл, жишээ нь вирус нь эсийн гадаргын рецепторт нэгдэн эндоцитоз үйл явц явагддаг.",1
"Энэ тохиолдлыг рецептороор дамжсан эндоцитоз, receptor-mediated endocytosis гэнэ.","Энэ явцыг рецептороор дамжсан эндоцитоз буюу receptor-mediated endocytosis гэж нэрлэдэг.",1
"Флагелла нь бактерийн бүрхүүлээс гадагш орон зайд цухуйж байрласан, хөдөлгөөний үүрэгтэй утаслаг бүтэц.","Флагелла нь бактерийн бүрхүүлээс гадагш орон зайд цухуйж байрлах, хөдөлгөөний үүрэгтэй утаслаг бүтэцтэй.",1
"Филамент буюу утаслаг , гогцоо, суурь бие, basal body гэсэн гурван хэсэгтэй.","Филамент буюу утаслаг, гогцоо, суурь бие гэсэн гурван хэсэгтэй.",1
"Бактерийн цитоплазмын мембранаас суурь бие эхлэнэ.","Бактерийн цитоплазмын мембранаас суурь бие эхэлдэг.",1
"Суурь бие саваа маягийн бүтэц түүнийг хүрээлсэн, цагиргуудаас тогтоно.","Суурь бие нь саваа маягийн бүтэцтэй, цагиргуудаас бүрддэг.",1
"Грам сөрөг нянд гадар мембраны хэсэгт хоёрдогч багц цагираг байна.","Грам сөрөг нянд гадар мембраны хэсэгт хоёрдогч цагираг багц байдаг.",1
"Суурь биеэс дэгээ хэлбэртэй гогцоо эхэлж, филаментад шилждэг.","Суурь биеэс дэгээ хэлбэртэй гогцоо эхэлж, филаментад шилждэг.",1
"Филамент флагеллин уургийн хэд хэдэн гинжээс бүрдэнэ.","Филамент нь флагеллин уургийн хэд хэдэн гинжээс бүрддэг.",1
"Флагелла байрлалаараа ялгаатай тул бактерийг ялган дүйх шинжийн нэг үзүүлэлт болдог.","Флагелла байрлалаараа ялгаатай байснаар бактерийг ялган дүйх шинжийн нэг үзүүлэлт болдог.",1
"Бактерийн шилбүүрийг байрлалаар нь: А. Перитрихи- Бактерийн эсийн эргэн тойронд байна. (Enterobacter, Bacillaceae)","Бактерийн шилбүүрийг байрлалаар нь ангилж болно: А. Перитрихи- Бактерийн эсийн эргэн тойронд байрладаг. (Enterobacter, Bacillaceae)",1
"Бактерийн шилбүүрийг байрлалаар нь: Б. Монотрихи- Нэг шилбүүртэй. (Vibrio)","Бактерийн шилбүүрийг байрлалаар нь ангилж болно: Б. Монотрихи- Нэг шилбүүртэй. (Vibrio)",1
"Бактерийн шилбүүрийг байрлалаар нь: В. Амфитрихи- Хоёр туйлд байрласан багц шилбүүр. (Spirillum)","Бактерийн шилбүүрийг байрлалаар нь ангилж болно: В. Амфитрихи- Хоёр туйлд байрласан багц шилбүүр. (Spirillum)",1
"Бактерийн шилбүүрийг байрлалаар нь: Г. Лофотрихи- Нэг туйлд байрласан багц шилбүүр (Pseudomonas) гэж ангилдаг.","Бактерийн шилбүүрийг байрлалаар нь ангилж болно: Г. Лофотрихи- Нэг туйлд байрласан багц шилбүүр. (Pseudomonas)",1
"Бактерийн перитрих байрлалтай шилбүүр цагийн зvvний эсрэг 1-2 секундын хугацаатай эргэлдэхэд бактер шулуун гүйх хөдөлгөөнийг хийнэ.","Бактерийн перитрих байрлалтай шилбүүр 1-2 секундын хугацаанд цагийн зүүн зүг рүү эргэлдэж, шулуун хөдөлгөөн хийхэд чиглэлээ өөрчилдөг.",1
"Бактерийн перитрих байрлалтай шилбүүр цагийн зvvний эсрэг 1-2 секундын хугацаатай эргэлдэхэд бактер шулуун гүйх хөдөлгөөнийг хийнэ.","Бактерийн шилбүүр 0.1-0.2 секундын хугацаанд цагийн зүүн зүг рүү эргэлдэхэд байрандаа өнхрөх хөдөлгөөн хийдэг.",1
"Бактерийн перитрих байрлалтай шилбүүр 0.1-0.2 секундын хугацаатай цагийн зvvний дагуу эргэлдэхэд байрандаа өнхрөх хөдөлгөөн хийхэд чиглэл өөрчлөгддөг.","Бактерийн шилбүүр 1-2 секундын хугацаатай цагийн зүүн зүг рүү эргэлдэж, шулуун хөдөлгөөн хийхэд чиглэлээ өөрчилдөг.",1
"Шилбүүрийн эргэлдэх чигийг хянадаг систем бактерт бий. Үүнд: фосфотрансфераза тээвэрлэлтийн системийн энзимII, цитоплазмын мембран дах гэрэл болон хүчилтөрөгчийн рецептор, периплазмын завсар дах холбогч уургууд шилбүүрийн эргэлтийн чигд нөлөөлдөг.","Бактерийн перитрих байрлалтай шилбүүрийн хөдөлгөөн нь энзим II, цитоплазмын мембран дах рецепторууд болон периплазмын завсарт байрлах уургуудын нөлөөгөөр хянагддаг.",1
"Шилбүүрийн эргэлдэх чигийг хянадаг систем бактерт бий. Үүнд: фосфотрансфераза тээвэрлэлтийн системийн энзимII, цитоплазмын мембран дах гэрэл болон хүчилтөрөгчийн рецептор, периплазмын завсар дах холбогч уургууд шилбүүрийн эргэлтийн чигд нөлөөлдөг.","Бактерийн шилбүүр цагийн зүүн зүг рүү 1-2 секундын хугацаанд эргэлдэж, чиглэлээ өөрчилдөг бөгөөд энзим II, рецепторууд эргэлтийн чигийг хянадаг.",1
"Бактерийн перитрих байрлалтай шилбүүр 0.1-0.2 секундын хугацаатай цагийн зvvний дагуу эргэлдэхэд байрандаа өнхрөх хөдөлгөөн хийхэд чиглэл өөрчлөгддөг.","Бактерийн гадаад орчны нөхцөлд шилбүүрийн чиглэлийн өөрчлөлт үүсдэггүй бөгөөд хөдөлгөөн нь ээлжлэн шулуун ба өнхрөх хөдөлгөөнөөр тогтмол үргэлжилдэг.",0
